Open,High,Low,Close,Adj Close,Volume
2678.800048828125,2685.050048828125,2676.75,2676.75,2676.75,0
2677.10009765625,2680.85009765625,2675.0,2676.800048828125,2676.800048828125,28874
2676.0,2688.25,2675.949951171875,2688.0,2688.0,24037
2688.0,2690.0,2685.449951171875,2685.550048828125,2685.550048828125,14272
2685.550048828125,2686.5,2685.0,2686.35009765625,2686.35009765625,12492
2685.699951171875,2690.0,2685.699951171875,2690.0,2690.0,6441
2689.89990234375,2690.35009765625,2689.39990234375,2690.0,2690.0,6180
2690.300048828125,2690.800048828125,2688.800048828125,2689.949951171875,2689.949951171875,16689
2689.39990234375,2689.949951171875,2689.39990234375,2689.85009765625,2689.85009765625,6644
2689.550048828125,2689.85009765625,2688.800048828125,2688.800048828125,2688.800048828125,5339
2688.050048828125,2688.60009765625,2687.35009765625,2687.5,2687.5,6379
2687.39990234375,2687.5,2686.10009765625,2686.10009765625,2686.10009765625,4517
2686.14990234375,2686.449951171875,2686.0,2686.39990234375,2686.39990234375,4191
2686.39990234375,2686.5,2682.199951171875,2683.5,2683.5,8064
2683.300048828125,2685.550048828125,2682.800048828125,2685.5,2685.5,2079
2685.5,2687.64990234375,2685.39990234375,2687.10009765625,2687.10009765625,3205
2687.10009765625,2687.449951171875,2686.75,2687.39990234375,2687.39990234375,1886
2687.39990234375,2689.60009765625,2687.39990234375,2689.5,2689.5,3611
2689.35009765625,2690.300048828125,2689.35009765625,2690.300048828125,2690.300048828125,2725
2690.300048828125,2692.0,2690.10009765625,2692.0,2692.0,7274
2691.949951171875,2694.0,2691.949951171875,2694.0,2694.0,12101
2693.949951171875,2694.0,2693.60009765625,2693.949951171875,2693.949951171875,2550
2693.949951171875,2693.949951171875,2692.449951171875,2692.449951171875,2692.449951171875,4704
2692.85009765625,2692.85009765625,2689.699951171875,2692.300048828125,2692.300048828125,8596
2692.300048828125,2692.300048828125,2691.89990234375,2692.14990234375,2692.14990234375,2458
2692.14990234375,2692.699951171875,2691.89990234375,2692.699951171875,2692.699951171875,5558
2692.5,2694.0,2692.5,2694.0,2694.0,2267
2693.89990234375,2697.5,2693.89990234375,2696.949951171875,2696.949951171875,39048
2697.85009765625,2698.10009765625,2696.699951171875,2697.0,2697.0,10156
2697.0,2697.0,2696.10009765625,2696.949951171875,2696.949951171875,3797
2696.85009765625,2698.550048828125,2696.449951171875,2697.60009765625,2697.60009765625,4595
2697.64990234375,2700.35009765625,2697.64990234375,2700.0,2700.0,52927
2700.0,2700.0,2697.75,2698.60009765625,2698.60009765625,5458
2698.550048828125,2698.550048828125,2696.35009765625,2697.0,2697.0,3767
2697.0,2697.0,2693.75,2694.800048828125,2694.800048828125,4980
2694.800048828125,2696.949951171875,2693.199951171875,2696.949951171875,2696.949951171875,12368
2696.949951171875,2696.949951171875,2696.60009765625,2696.800048828125,2696.800048828125,2651
2696.75,2696.75,2693.85009765625,2694.0,2694.0,3410
2694.0,2696.75,2693.550048828125,2696.300048828125,2696.300048828125,5307
2696.300048828125,2696.300048828125,2694.35009765625,2695.5,2695.5,3212
2695.800048828125,2698.0,2695.75,2697.949951171875,2697.949951171875,3089
2697.89990234375,2698.0,2696.199951171875,2697.0,2697.0,1946
2696.89990234375,2697.0,2695.0,2695.89990234375,2695.89990234375,2190
2695.5,2695.85009765625,2694.449951171875,2695.14990234375,2695.14990234375,3182
2695.199951171875,2697.699951171875,2695.050048828125,2697.25,2697.25,3805
2697.199951171875,2697.550048828125,2697.199951171875,2697.39990234375,2697.39990234375,1924
2697.39990234375,2698.0,2697.39990234375,2697.949951171875,2697.949951171875,1425
2697.949951171875,2698.199951171875,2696.10009765625,2698.199951171875,2698.199951171875,3278
2698.199951171875,2698.199951171875,2697.35009765625,2698.14990234375,2698.14990234375,10442
2698.0,2698.14990234375,2696.35009765625,2696.35009765625,2696.35009765625,2196
2696.300048828125,2699.35009765625,2696.300048828125,2699.199951171875,2699.199951171875,8890
2699.0,2703.699951171875,2698.800048828125,2703.25,2703.25,14388
2703.75,2704.0,2700.550048828125,2703.25,2703.25,5009
2703.25,2704.0,2701.800048828125,2702.699951171875,2702.699951171875,3870
2702.0,2702.699951171875,2696.0,2696.0,2696.0,2854
2696.25,2696.35009765625,2690.75,2692.14990234375,2692.14990234375,7428
2692.25,2694.800048828125,2692.14990234375,2694.800048828125,2694.800048828125,4831
2694.800048828125,2695.199951171875,2693.5,2695.199951171875,2695.199951171875,2689
2695.199951171875,2699.0,2695.199951171875,2698.85009765625,2698.85009765625,3263
2697.949951171875,2698.89990234375,2696.800048828125,2696.85009765625,2696.85009765625,5610
2696.800048828125,2698.10009765625,2695.64990234375,2696.10009765625,2696.10009765625,3274
2695.64990234375,2695.64990234375,2692.35009765625,2694.300048828125,2694.300048828125,5120
2694.39990234375,2694.39990234375,2692.5,2692.800048828125,2692.800048828125,1329
2692.5,2692.800048828125,2690.10009765625,2690.10009765625,2690.10009765625,2871
2690.10009765625,2692.199951171875,2689.60009765625,2689.60009765625,2689.60009765625,4696
2689.550048828125,2693.050048828125,2689.550048828125,2693.0,2693.0,3591
2692.60009765625,2692.60009765625,2690.0,2691.25,2691.25,1802
2690.800048828125,2692.0,2690.0,2691.39990234375,2691.39990234375,2299
2691.39990234375,2694.60009765625,2691.39990234375,2693.199951171875,2693.199951171875,5715
2693.199951171875,2693.449951171875,2692.800048828125,2693.449951171875,2693.449951171875,1835
2693.39990234375,2693.449951171875,2691.60009765625,2691.699951171875,2691.699951171875,1177
