Open,High,Low,Close,Volume,Dividends,Stock Splits
150.63999938964844,151.58990478515625,150.63999938964844,151.5,5538345,0.0,0.0
151.48989868164062,151.8699951171875,151.33099365234375,151.75999450683594,486968,0.0,0.0
151.74000549316406,152.0,151.5500030517578,151.9600067138672,469154,0.0,0.0
151.9499969482422,152.1699981689453,151.85000610351562,152.0500030517578,390205,0.0,0.0
152.05850219726562,152.4199981689453,152.05850219726562,152.3000030517578,360771,0.0,0.0
152.2899932861328,152.4600067138672,152.1199951171875,152.1300048828125,470859,0.0,0.0
152.14500427246094,152.35000610351562,152.02999877929688,152.09500122070312,272656,0.0,0.0
152.09500122070312,152.27000427246094,152.02000427246094,152.0800018310547,311913,0.0,0.0
152.07000732421875,152.38999938964844,152.0399932861328,152.16000366210938,257980,0.0,0.0
152.1649932861328,152.3350067138672,152.1649932861328,152.3300018310547,157434,0.0,0.0
152.33999633789062,152.5399932861328,152.2949981689453,152.39999389648438,315680,0.0,0.0
152.39999389648438,152.60000610351562,152.33999633789062,152.4600067138672,281316,0.0,0.0
152.4499969482422,152.60000610351562,152.33999633789062,152.375,284513,0.0,0.0
152.3699951171875,152.63999938964844,152.35000610351562,152.3800048828125,256152,0.0,0.0
152.3842010498047,152.57989501953125,152.35000610351562,152.3990020751953,193527,0.0,0.0
152.39500427246094,152.47000122070312,152.33999633789062,152.39999389648438,315033,0.0,0.0
152.39999389648438,152.59030151367188,152.33999633789062,152.48500061035156,225053,0.0,0.0
152.47999572753906,152.5,152.35000610351562,152.39999389648438,168158,0.0,0.0
152.39999389648438,152.5,152.27999877929688,152.46499633789062,301260,0.0,0.0
152.46499633789062,152.69000244140625,152.3800048828125,152.66009521484375,250194,0.0,0.0
152.668701171875,152.88999938964844,152.610107421875,152.8300018310547,254228,0.0,0.0
152.83810424804688,152.9250030517578,152.75999450683594,152.88999938964844,248233,0.0,0.0
152.889892578125,152.91909790039062,152.60000610351562,152.67999267578125,216868,0.0,0.0
152.6699981689453,152.77000427246094,152.39999389648438,152.47999572753906,241370,0.0,0.0
152.47999572753906,152.57000732421875,152.35000610351562,152.47999572753906,203351,0.0,0.0
152.4499969482422,152.6300048828125,152.35000610351562,152.55999755859375,200569,0.0,0.0
152.55499267578125,152.6761016845703,152.33999633789062,152.41000366210938,226881,0.0,0.0
152.41000366210938,152.47000122070312,152.35000610351562,152.42999267578125,165933,0.0,0.0
152.4499969482422,152.5050048828125,152.3800048828125,152.42999267578125,129636,0.0,0.0
152.44000244140625,152.44000244140625,152.14999389648438,152.3155975341797,372607,0.0,0.0
152.30999755859375,152.44000244140625,151.86000061035156,151.87989807128906,386922,0.0,0.0
151.86000061035156,152.22999572753906,151.8571014404297,152.1699981689453,204358,0.0,0.0
152.1750030517578,152.27999877929688,152.02000427246094,152.2572021484375,134221,0.0,0.0
152.25230407714844,152.27000427246094,151.9600067138672,152.01499938964844,120092,0.0,0.0
152.02499389648438,152.1999969482422,152.02499389648438,152.1699981689453,96166,0.0,0.0
152.13999938964844,152.3800048828125,152.10000610351562,152.24000549316406,149996,0.0,0.0
152.2299041748047,152.3800048828125,152.22000122070312,152.32000732421875,124036,0.0,0.0
152.32000732421875,152.35499572753906,152.1699981689453,152.24000549316406,111692,0.0,0.0
152.25999450683594,152.32000732421875,152.14999389648438,152.1699981689453,120171,0.0,0.0
152.17999267578125,152.1999969482422,151.97000122070312,151.99000549316406,149720,0.0,0.0
151.97999572753906,152.00050354003906,151.83999633789062,151.98800659179688,168229,0.0,0.0
151.97999572753906,152.08929443359375,151.94000244140625,151.97900390625,115492,0.0,0.0
151.97000122070312,152.0,151.85000610351562,151.96499633789062,118282,0.0,0.0
151.97000122070312,152.05990600585938,151.92999267578125,151.9600067138672,116882,0.0,0.0
151.9582061767578,152.22999572753906,151.9582061767578,152.13499450683594,149795,0.0,0.0
152.10000610351562,152.13999938964844,151.95010375976562,152.02999877929688,154683,0.0,0.0
152.02999877929688,152.13999938964844,151.86000061035156,152.1300048828125,169293,0.0,0.0
152.1300048828125,152.19500732421875,152.0019989013672,152.0019989013672,100739,0.0,0.0
152.00999450683594,152.1699981689453,152.00999450683594,152.13499450683594,104000,0.0,0.0
152.1300048828125,152.27000427246094,152.00999450683594,152.24000549316406,217750,0.0,0.0
152.22999572753906,152.32789611816406,152.13999938964844,152.20989990234375,148691,0.0,0.0
152.2100067138672,152.27999877929688,152.1750030517578,152.2624969482422,115080,0.0,0.0
152.2698974609375,152.3300018310547,152.14999389648438,152.2899932861328,170830,0.0,0.0
152.2899932861328,152.3699951171875,152.24000549316406,152.27999877929688,105285,0.0,0.0
152.27000427246094,152.3699951171875,152.22000122070312,152.35000610351562,117753,0.0,0.0
152.35000610351562,152.4199981689453,152.2899932861328,152.3040008544922,126191,0.0,0.0
152.3101043701172,152.38999938964844,152.22000122070312,152.27999877929688,103932,0.0,0.0
152.27000427246094,152.33999633789062,152.1750030517578,152.1750030517578,109651,0.0,0.0
152.17999267578125,152.17999267578125,151.98489379882812,152.02000427246094,115662,0.0,0.0
152.0198974609375,152.13839721679688,152.00010681152344,152.13839721679688,79534,0.0,0.0
152.135498046875,152.3699951171875,152.10009765625,152.33999633789062,150577,0.0,0.0
152.32000732421875,152.41000366210938,152.25,152.4001007080078,106586,0.0,0.0
152.41000366210938,152.52999877929688,152.40020751953125,152.47000122070312,207780,0.0,0.0
152.52999877929688,152.52999877929688,152.4199981689453,152.49000549316406,191219,0.0,0.0
152.47900390625,152.5,152.24000549316406,152.42999267578125,164580,0.0,0.0
